Model,Test Dataset,Level 1.1,Level 1.2,Level 2.1,Level 2.2,Level 3.1,Level 3.2
50-augmented-mixed,Te,0.7790994616,0.7790994616,0.7790994616,0.7790994616,0.7790994616,0.7790994616
50-augmented-mixed,C-Te-10,0.7738909813,0.7659672131,0.7705170778,0.7716065574,0.7676839553,0.7608643839
50-augmented-mixed,C-Te-25,0.7648508328,0.7518037518,0.7488634478,0.7421858528,0.7523238262,0.7562211951
50-augmented-mixed,C-Te-50,0.7716940435,0.7115991952,0.73744815,0.7032360496,0.7268581668,0.699515441
50-augmented-mixed,C-Te-75,0.7341427086,0.7350935094,0.7279533233,0.685693353,0.7310783479,0.6682914175
50-augmented-mixed,C-Te-100,0.7178548173,0.6272290445,0.7178548173,0.6272290445,0.7011147541,0.6704760039
75-augmented-mixed,Te,0.7945168073,0.7945168073,0.7945168073,0.7945168073,0.7945168073,0.7945168073
75-augmented-mixed,C-Te-10,0.7898320263,0.792211798,0.7857355182,0.7839532018,0.7910747606,0.7880772943
75-augmented-mixed,C-Te-25,0.7879569834,0.7898320263,0.7786674711,0.7691656515,0.7668432901,0.7726671953
75-augmented-mixed,C-Te-50,0.7745702128,0.7557631226,0.7534201688,0.7370347656,0.7441690082,0.7287921791
75-augmented-mixed,C-Te-75,0.7757359145,0.7534201688,0.7288417106,0.6733342411,0.7406956249,0.6589313792
75-augmented-mixed,C-Te-100,0.7225730288,0.654877816,0.7225730288,0.654877816,0.7080973606,0.6630094044
100-augmented-mixed,Te,0.7526840491,0.7526840491,0.7526840491,0.7526840491,0.7526840491,0.7526840491
100-augmented-mixed,C-Te-10,0.7578360949,0.7574358974,0.7475141947,0.7463426144,0.7451739299,0.7365345915
100-augmented-mixed,C-Te-25,0.7566496887,0.7487932583,0.7322344322,0.7365196078,0.7443382726,0.7277974306
100-augmented-mixed,C-Te-50,0.7542750499,0.7260056988,0.72232119,0.6927147082,0.7129050968,0.6786824486
100-augmented-mixed,C-Te-75,0.7511646075,0.7362329212,0.718930896,0.6651595935,0.7173924156,0.6511741751
100-augmented-mixed,C-Te-100,0.7271317829,0.6312063373,0.7271317829,0.6312063373,0.684981685,0.6080257787
